product_id,product_name,product_description,sku,category,subcategory,brand,cost_price,list_price,sale_price,stock_quantity,reorder_level,is_active,is_featured,weight_kg,supplier_id,created_at,updated_at
PROD-101,TechLine Beauty #1,High quality skincare item,SKU-BEA-001,BEAUTY,SKINCARE,HomeCo,346.78,655.83,,400,39,true,false,9.16,SUP-006,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-102,UrbanWear Apparel #2,High quality mens item,SKU-APP-002,APPAREL,MENS,SoundMax,392.41,652.45,633.66,172,35,true,false,7.78,SUP-003,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-103,TechLine Beauty #3,High quality skincare item,SKU-BEA-003,BEAUTY,SKINCARE,FitPro,386.11,594.17,,61,33,true,true,10.57,SUP-008,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-104,VisionPro Electronics #4,High quality audio item,SKU-ELE-004,ELECTRONICS,AUDIO,SoundMax,290.37,537.47,,250,21,true,false,12.5,SUP-007,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-105,UrbanWear Electronics #5,High quality tv item,SKU-ELE-005,ELECTRONICS,TV,TechLine,341.45,798.17,,330,50,true,false,17.46,SUP-001,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-106,SoundMax Electronics #6,High quality tv item,SKU-ELE-006,ELECTRONICS,TV,UrbanWear,97.73,210.4,177.89,60,45,true,true,8.93,SUP-005,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-107,VisionPro Electronics #7,High quality audio item,SKU-ELE-007,ELECTRONICS,AUDIO,VisionPro,23.17,52.73,46.14,281,31,true,true,3.48,SUP-002,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-108,VisionPro Home #8,High quality furniture item,SKU-HOM-008,HOME,FURNITURE,VisionPro,249.79,415.88,,246,45,true,false,9.25,SUP-001,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-109,TechLine Beauty #9,High quality skincare item,SKU-BEA-009,BEAUTY,SKINCARE,HomeCo,360.98,774.44,687.97,163,45,true,false,13.84,SUP-008,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-110,VisionPro Apparel #10,High quality womens item,SKU-APP-010,APPAREL,WOMENS,UrbanWear,83.69,152.58,,302,27,true,false,19.85,SUP-005,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-111,GlowLab Electronics #11,High quality audio item,SKU-ELE-011,ELECTRONICS,AUDIO,FitPro,391.29,831.12,758.97,391,8,true,false,16.67,SUP-005,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-112,HomeCo Apparel #12,High quality mens item,SKU-APP-012,APPAREL,MENS,TechLine,244.79,437.58,,357,47,true,true,12.6,SUP-001,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-113,TechLine Apparel #13,High quality womens item,SKU-APP-013,APPAREL,WOMENS,TechLine,316.5,454.72,375.73,392,31,true,true,4.1,SUP-009,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-114,TechLine Home #14,High quality kitchen item,SKU-HOM-014,HOME,KITCHEN,FitPro,214.69,516.29,,493,35,true,false,14.96,SUP-006,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-115,VisionPro Electronics #15,High quality tv item,SKU-ELE-015,ELECTRONICS,TV,FitPro,189.99,281.72,,356,48,true,false,19.35,SUP-009,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-116,TechLine Home #16,High quality kitchen item,SKU-HOM-016,HOME,KITCHEN,GlowLab,40.67,74.59,61.52,393,48,true,false,11.73,SUP-006,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-117,HomeCo Electronics #17,High quality tv item,SKU-ELE-017,ELECTRONICS,TV,TechLine,271.56,521.02,,478,44,true,true,12.99,SUP-008,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-118,UrbanWear Apparel #18,High quality womens item,SKU-APP-018,APPAREL,WOMENS,SoundMax,261.45,399.59,322.65,59,20,true,true,7.83,SUP-006,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-119,SoundMax Sports #19,High quality fitness item,SKU-SPO-019,SPORTS,FITNESS,FitPro,170.56,378.05,333.81,260,44,true,false,18.79,SUP-005,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-120,VisionPro Electronics #20,High quality audio item,SKU-ELE-020,ELECTRONICS,AUDIO,FitPro,277.66,455.08,,195,11,true,false,10.93,SUP-006,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-121,UrbanWear Electronics #21,High quality audio item,SKU-ELE-021,ELECTRONICS,AUDIO,SoundMax,162.27,261.06,253.13,349,18,true,true,1.11,SUP-006,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-122,HomeCo Apparel #22,High quality mens item,SKU-APP-022,APPAREL,MENS,VisionPro,395.58,896.26,865.75,310,18,true,true,6.64,SUP-003,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-123,HomeCo Electronics #23,High quality audio item,SKU-ELE-023,ELECTRONICS,AUDIO,TechLine,114.52,284.29,,418,16,true,true,13.26,SUP-001,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-124,VisionPro Electronics #24,High quality laptop item,SKU-ELE-024,ELECTRONICS,LAPTOP,TechLine,10.87,24.66,21.32,36,13,true,false,10.57,SUP-002,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-125,UrbanWear Beauty #25,High quality skincare item,SKU-BEA-025,BEAUTY,SKINCARE,HomeCo,182.07,327.41,,123,44,true,true,14.57,SUP-009,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-126,UrbanWear Apparel #26,High quality womens item,SKU-APP-026,APPAREL,WOMENS,UrbanWear,185.93,457.47,409.8,361,11,true,false,14.28,SUP-008,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-127,HomeCo Electronics #27,High quality tv item,SKU-ELE-027,ELECTRONICS,TV,GlowLab,360.21,631.92,521.48,309,40,true,false,7.68,SUP-010,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-128,FitPro Sports #28,High quality fitness item,SKU-SPO-028,SPORTS,FITNESS,GlowLab,121.48,237.63,,68,46,true,true,8.66,SUP-004,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-129,SoundMax Home #29,High quality furniture item,SKU-HOM-029,HOME,FURNITURE,TechLine,138.88,263.71,,228,25,true,false,7.55,SUP-003,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-130,GlowLab Beauty #30,High quality skincare item,SKU-BEA-030,BEAUTY,SKINCARE,TechLine,31.52,72.97,59.79,425,13,true,true,11.77,SUP-009,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-131,FitPro Sports #31,High quality fitness item,SKU-SPO-031,SPORTS,FITNESS,UrbanWear,135.21,207.47,193.58,454,8,true,false,12.05,SUP-006,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-132,VisionPro Electronics #32,High quality tv item,SKU-ELE-032,ELECTRONICS,TV,FitPro,233.28,381.18,,65,27,true,false,2.39,SUP-005,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-133,FitPro Apparel #33,High quality mens item,SKU-APP-033,APPAREL,MENS,HomeCo,323.85,754.46,,324,48,true,true,12.22,SUP-005,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-134,SoundMax Electronics #34,High quality audio item,SKU-ELE-034,ELECTRONICS,AUDIO,VisionPro,76.26,165.71,143.83,455,14,true,false,1.48,SUP-001,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-135,TechLine Electronics #35,High quality tv item,SKU-ELE-035,ELECTRONICS,TV,VisionPro,299.71,490.52,,199,24,true,false,15.56,SUP-010,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-136,SoundMax Electronics #36,High quality tv item,SKU-ELE-036,ELECTRONICS,TV,GlowLab,353.92,556.06,,51,22,true,false,13.27,SUP-008,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-137,TechLine Beauty #37,High quality skincare item,SKU-BEA-037,BEAUTY,SKINCARE,UrbanWear,168.6,276.02,,66,23,true,false,10.59,SUP-005,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-138,VisionPro Electronics #38,High quality audio item,SKU-ELE-038,ELECTRONICS,AUDIO,FitPro,92.1,228.67,192.29,80,21,true,false,6.63,SUP-001,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-139,HomeCo Beauty #39,High quality skincare item,SKU-BEA-039,BEAUTY,SKINCARE,HomeCo,300.07,478.09,449.76,436,47,true,false,1.53,SUP-001,2023-01-01 00:00:00,2024-01-01 00:00:00
PROD-140,HomeCo Home #40,High quality furniture item,SKU-HOM-040,HOME,FURNITURE,UrbanWear,12.4,29.92,,303,30,true,false,5.86,SUP-007,2023-01-01 00:00:00,2024-01-01 00:00:00
